Institution,Course Number,Launch Date,Course Title,Instructors,Course Subject,Enrolled,Review,Total Course Duration (Days),Is Paid,Difficulty Level
MITx,15.071x,2014,The Analytics Edge,Dimitris Bertsimas,"Government, Health, and Social Science",31391,1790,313,No,High
MITx,16.110x,2014,Flight Vehicle Aerodynamics,Mark Drela,"Science, Technology, Engineering, and Mathematics",11883,101,34,No,High
MITx,6.00.2x,2014,Introduction to Computational Thinking and Data Science,"Eric Grimson, John Guttag",Computer Science,13148,1502,97,No,Moderate
HarvardX,GSE1x,2014,Unlocking the Immunity to Change,"Robert Kegan, Lisa Lahey","Humanities, History, Design, Religion, and Education",39319,1851,160,No,Moderate
MITx,15.390x,2014,Entrepreneurship 101: Who Is Your Customer?,Bill Aulet,"Government, Health, and Social Science",36330,2043,109,No,Moderate
HarvardX,SW12.4x,2014,A New National Culture,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",6753,1788,35,No,Low
HarvardX,HAA1x,2014,HarvardX for Alumni: Explorations in Learning,Rob Lue,"Humanities, History, Design, Religion, and Education",7156,0,7,No,Low
HarvardX,BUS5.1x,2014,Innovating in Health Care,"Regina Herzlinger, Margo Selzer","Government, Health, and Social Science",12621,602,28,No,Moderate
MITx,JPAL 101x,2014,Evaluating Social Programs,"Rachel Glennerster, Marc Shotland","Government, Health, and Social Science",7382,980,46,No,Moderate
HarvardX,PH525x,2014,Data Analysis for Genomics,Rafael Irizarry,"Government, Health, and Social Science",13708,651,58,No,High
HarvardX,HSPH210x,2014,United States Health Policy,John McDonough,"Government, Health, and Social Science",10225,763,48,No,Moderate
HarvardX,ER22.1x,2014,Justice,Michael Sandel,"Humanities, History, Design, Religion, and Education",35409,2485,145,No,Low
MITx,6.SFMx,2014,Street Fighting Math,"Sanjoy Mahajan, Isaac Chuang","Science, Technology, Engineering, and Mathematics",27882,567,57,No,Moderate
HarvardX,SW12.5x,2014,From Global Empire to Global Economy,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",5256,1686,25,No,Moderate
MITx,MAS.S69x,2014,Big Data and Social Physics,Sandy Pentland,"Government, Health, and Social Science",30456,4055,35,No,High
MITx,3.091x,2014,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",5854,269,55,No,Low
HarvardX,SW12.6x,2014,The Last Empire,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",5446,1637,32,No,Moderate
MITx,8.MREV,2014,Mechanics Review,David Pritchard,"Science, Technology, Engineering, and Mathematics",12939,502,87,No,Low
HarvardX,USW30x,2014,Tangible Things,Laurel Ulrich,"Humanities, History, Design, Religion, and Education",10737,1090,23,No,Moderate
MITx,2.01x,2014,Elements of Structures,Simona Socrate,"Science, Technology, Engineering, and Mathematics",6140,333,62,No,Moderate
MITx,6.00.1x,2014,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag",Computer Science,22148,2307,233,No,Low
MITx,7.QBWx,2014,Quantitative Biology Workshop,Marry Ellen Wiltrout,"Science, Technology, Engineering, and Mathematics",5092,392,40,No,Moderate
MITx,7.00x,2014,Introduction to Biology: Secret of Life,Eric Lander,"Science, Technology, Engineering, and Mathematics",15627,940,182,No,Low
MITx,7.00x,2014,Introduction to Biology: Secret of Life,Eric Lander,"Science, Technology, Engineering, and Mathematics",10755,0,59,No,Low
HarvardX,GSE2x,2014,Leaders of Learning,Richard Elmore,"Humanities, History, Design, Religion, and Education",36805,3942,103,No,Moderate
MITx,6.002x,2014,Circuits and Electronics,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam","Science, Technology, Engineering, and Mathematics",19263,482,129,No,Moderate
MITx,6.00.1x,2014,Introduction to Computer Science and Programming,Eric Grimson,Computer Science,21017,2127,206,No,Low
HarvardX,HUM2.1x,2014,The Ancient Greek Hero in 24 Hours (Hours 1-5): Epic and Lyric,Gregory Nagy,"Humanities, History, Design, Religion, and Education",7304,775,17,No,Moderate
HarvardX,VJx,2014,"Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity",John W. Dower,"Humanities, History, Design, Religion, and Education",8493,1183,20,No,Moderate
MITx,3.032x,2014,Mechanical Behavior of Materials,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",11841,502,81,No,High
MITx,3.091x,2014,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",5245,164,39,No,Low
