course_id,Title,Overall_Rating,Topic,Instructor,Video_Duration_Hr,Is Paid,Price
59,Create and sell ebooks the complete course,5,eBook Creation,Nicolas Forgue,6.5,YES,108.98
60,Preparing Customer Marketing Campaign Plan,0,Marketing Plan,Jarod Lee,0.533333333333333,YES,29.98
61,Adobe Photoshop CC 2020: Fun New Features,0,Photoshop,Tom Kai,1,YES,59.98
62,The Human Voyage: The Life roadmap for those wanting better.,0,Empowerment,Coach Hall,6.5,YES,128.98
63,Developing an Effective FCPA Compliance Program,4.6,Accounting,Illumeo Learning,1,YES,34.98
64,The Complete WordPress Aliexpress Dropship course,4.4,Dropshipping,Tim Sharp,4.5,YES,148.98
65,Apple Mac Basics - The Complete Course for beginners,4.6,Mac Basics,Colin Marks,3,YES,59.98
66,PTSD 2.0 - Post Traumatic Simply Dissolved,5,Mental Health,Adam Henson,4,YES,44.98
67,How To Build A Brand On Social Media!,4.1,Business Branding,Everett Bowes,2,YES,34.98
68,"Ecommerce with WordPress, woo Commerce, Amazon , Alibaba",0,WordPress for Ecommerce,Ucareer hub,2,YES,40.98
69,Master Living Intentionally - For a Fuller Freer Life,5,Mindset,Martha D Karimi,0.55,YES,40.98
70,Personal SEO : Become a Creative Brand Advocate ,5,SEO,Philip Campbell,4,YES,29.98
71,Simplified Approach to DBMS,4.7,Database Management,Parteek Bhatia,11.5,YES,29.98
72,Mastering RTOS: Hands on FreeRTOS and STM32Fx with Debugging,4.6,RTOS,FastBit Embedded Brain Academy,14,YES,49.98
73,High Performance Learning 2.0,4.3,Mindset,Tim Goodenough,3,YES,128.98
74,Zoom For Business | How To Grow Your Business With Zoom,3.8,Webinar,Zoolord Academy,1,YES,128.98
75,"Complete Video Creation, Video Marketing, & YouTube MASTERY",4.4,Video Marketing,"Ing. Tomas Moravek | SEO, Facebook Ads & Facebook Marketing Expert",14.5,YES,128.98
76,Generators in Python,5,Python,life michael,0.5,YES,34.98
77,Forex-Money Management Strategy,0,Forex,Hamza Saeed,1,YES,29.98
78,College Level Advanced Linear Algebra! Theory & Programming!,4.5,Linear Algebra,"Ahmed Fathy, MSc",35,YES,138.98
79,Product Development and Management Processes,3,Product Development,Profadev Technologies,0.633333333333333,YES,34.98
80,Best Practices for Interpreters,4,Translation Business,Svetlana O'Farrell,1.5,YES,29.98
81,Wordpress Engagement Optimization:,0,WordPress,Carlos Figueira,1,YES,29.98
82,Ignite Your Podcast Power,4.6,Podcasting,Emmett Ferguson,4.5,YES,40.98
83,Clear Mind Open Heart Meditation Part 1,0,Unknown,"Brian Sheen, Ph.D",1,YES,59.98
84,Business Development & B2B Sales for Startups- Sales Valley,4.5,Business Development,Patrick Dang,6.5,YES,128.98
85,OBS Studio Master Course: The Complete Guide to Streaming,4.9,Open Broadcaster,Kelvin Sousa,5,YES,59.98
86,All About Photography Exposure,4.9,Photography,Beyond Photography,1,YES,29.98
87,LIMITING & DITHERING (with Slate Digital FG-X),0,Music Production,MUSICAL NOTES,1.5,YES,29.98
88,The Origin Of Creation - The Big Bang Theory,5,Earth Science,Michael Mathiesen,1,YES,59.98
89,Learn to Play Chess Openings Like a Master,4.7,Chess,Greg Vanderford,4,YES,128.98
90,WorkflowMax cloud project management software course,5,Project Management,Maria S.,2,YES,29.98
91,Learning Windows PowerShell,4.5,PowerShell,Infinite Skills,5,YES,59.98
92,Psychic Development - Advanced,0,Psychic,Riki Davies,3.5,YES,188.98
93,The Philosophy of FileMaker - Part 3,4.8,FileMaker,John Mark Osborne,9,YES,68.98
94,"Learn Guitar Repair - Module 1, Maintaining Your Guitar",4.5,Luthiery,Kevin Webb,1.5,YES,34.98
95,Jiu Jitsu Triangle Choke,5,Martial Arts,Gavin Hain,2,YES,49.98
96,Dealing with Bullies and Harassers,3.6,Bullying,Vasco PatrÃ­cio,1.5,YES,78.98
97,Newly Updated for 2020/21 - Comprehensive Guide to LinkedIn,4.5,LinkedIn,Alastair Banks,1.5,YES,104.98
98,Autopilot Bitcoin Systems,4.7,Bitcoin Trading,Benjamin Santos,3,YES,128.98
99,"Alteryx Masterclass for Data Analytics, ETL and Reporting",4.5,Alteryx,Start-Tech Academy,6,YES,128.98
100,Learn Live Looping On The RC-3 Loop Station.,4,Live Looping,Brad Cunningham,1.5,YES,34.98
101,"Inbound Marketing: Content Marketing, KPI & Google Analytics",4.7,Inbound Marketing,Alex Genadinik,3.5,YES,59.98
